,pdb_id,number_chain,protein_1,protein_2,
1550,5tzt,6,NaN,NaN,NaN
1551,5u4y,4,NaN,NaN,NaN
1552,5u52,4,NaN,NaN,NaN
1553,5u8q,4,NaN,NaN,NaN
1554,5ufq,4,NaN,NaN,NaN
1555,5un5,4,NaN,NaN,NaN
1556,5upk,3,NaN,NaN,NaN
1557,5uq3,3,NaN,NaN,NaN
1558,5ush,6,NaN,NaN,NaN
1559,5usl,6,NaN,NaN,NaN
1560,5utz,12,NaN,NaN,NaN
1561,5uv8,4,NaN,NaN,NaN
1562,5uwh,4,NaN,NaN,NaN
1563,5uwo,4,NaN,NaN,NaN
1564,5uwq,4,NaN,NaN,NaN
1565,5uws,4,NaN,NaN,NaN
1566,5uwu,4,NaN,NaN,NaN
1567,5v52,4,NaN,NaN,NaN
1568,5v5g,4,NaN,NaN,NaN
1569,5v5i,4,NaN,NaN,NaN
1570,5v5v,12,NaN,NaN,NaN
1571,5vag,3,NaN,NaN,NaN
1572,5vcb,30,NaN,NaN,NaN
1573,5vey,3,NaN,NaN,NaN
1574,5vmm,8,NaN,NaN,NaN
1575,5vob,7,NaN,NaN,NaN
1576,5vpg,3,NaN,NaN,NaN
1577,5vpl,3,NaN,NaN,NaN
1578,5vt9,4,NaN,NaN,NaN
1579,5vu0,3,NaN,NaN,NaN
1580,5vwx,4,NaN,NaN,NaN
1581,5vx0,4,NaN,NaN,NaN
1582,5vx2,4,NaN,NaN,NaN
1583,5vx3,8,NaN,NaN,NaN
1584,5vxz,4,NaN,NaN,NaN
1585,5vyf,6,NaN,NaN,NaN
1586,5w06,3,NaN,NaN,NaN
1587,5w08,18,NaN,NaN,NaN
1588,5w0k,10,NaN,NaN,NaN
1589,5w1m,12,NaN,NaN,NaN
1590,5w1t,14,NaN,NaN,NaN
1591,5w3x,4,NaN,NaN,NaN
1592,5w42,4,NaN,NaN,NaN
1593,5w6g,4,NaN,NaN,NaN
1594,5w8t,4,NaN,NaN,NaN
1595,5w9a,4,NaN,NaN,NaN
1596,5wb7,8,NaN,NaN,NaN
1597,5wb8,4,NaN,NaN,NaN
1598,5whk,4,NaN,NaN,NaN
1599,5wi9,6,NaN,NaN,NaN
1600,5wko,24,NaN,NaN,NaN
1601,5wql,8,NaN,NaN,NaN
1602,5wt9,3,NaN,NaN,NaN
1603,5wux,9,NaN,NaN,NaN
1604,5wvo,4,NaN,NaN,NaN
1605,5wy2,4,NaN,NaN,NaN
1606,5x0w,8,NaN,NaN,NaN
1607,5x4l,4,NaN,NaN,NaN
1608,5x60,3,NaN,NaN,NaN
1609,5xda,12,NaN,NaN,NaN
1610,5xfs,3,NaN,NaN,NaN
1611,5xis,6,NaN,NaN,NaN
1612,5xj3,12,NaN,NaN,NaN
1613,5xj4,3,NaN,NaN,NaN
1614,5xjg,4,NaN,NaN,NaN
1615,5xku,3,NaN,NaN,NaN
1616,5xmh,6,NaN,NaN,NaN
1617,5xnp,4,NaN,NaN,NaN
1618,5xot,5,NaN,NaN,NaN
1619,5xov,10,NaN,NaN,NaN
1620,5xqz,4,NaN,NaN,NaN
1621,5xsq,6,NaN,NaN,NaN
1622,5xwd,3,NaN,NaN,NaN
1623,5xwt,4,NaN,NaN,NaN
1624,5xxy,3,NaN,NaN,NaN
1625,5y11,3,NaN,NaN,NaN
1626,5y1z,4,NaN,NaN,NaN
1627,5y4r,4,NaN,NaN,NaN
1628,5yc5,3,NaN,NaN,NaN
1629,5ydr,3,NaN,NaN,NaN
1630,5yir,6,NaN,NaN,NaN
1631,5yis,4,NaN,NaN,NaN
1632,5yoy,18,NaN,NaN,NaN
1633,5ywo,10,NaN,NaN,NaN
1634,5ywp,10,NaN,NaN,NaN
1635,5z78,3,NaN,NaN,NaN
1636,5zxv,6,NaN,NaN,NaN
1637,6a0z,3,NaN,NaN,NaN
1638,6a67,6,NaN,NaN,NaN
1639,6ana,3,NaN,NaN,NaN
1640,6and,3,NaN,NaN,NaN
1641,6ani,6,NaN,NaN,NaN
1642,6aod,3,NaN,NaN,NaN
1643,6aqr,5,NaN,NaN,NaN
1644,6asr,3,NaN,NaN,NaN
1645,6atk,6,NaN,NaN,NaN
1646,6avf,5,NaN,NaN,NaN
1647,6avg,10,NaN,NaN,NaN
1648,6azz,6,NaN,NaN,NaN
1649,6b05,3,NaN,NaN,NaN
1650,6b08,3,NaN,NaN,NaN
1651,6b0a,3,NaN,NaN,NaN
1652,6b0e,3,NaN,NaN,NaN
1653,6b0g,3,NaN,NaN,NaN
1654,6b0s,3,NaN,NaN,NaN
1655,6b12,4,NaN,NaN,NaN
1656,6b3m,24,NaN,NaN,NaN
1657,6b3s,12,NaN,NaN,NaN
1658,6b8n,8,NaN,NaN,NaN
1659,6b9j,6,NaN,NaN,NaN
1660,6bb4,9,NaN,NaN,NaN
1661,6bck,3,NaN,NaN,NaN
1662,6bf4,6,NaN,NaN,NaN
1663,6bit,6,NaN,NaN,NaN
1664,6bkb,3,NaN,NaN,NaN
1665,6bkc,3,NaN,NaN,NaN
1666,6bkd,3,NaN,NaN,NaN
1667,6blh,3,NaN,NaN,NaN
1668,6bli,12,NaN,NaN,NaN
1669,6brs,4,NaN,NaN,NaN
1670,6bva,6,NaN,NaN,NaN
1671,6bx4,4,NaN,NaN,NaN
1672,6bx5,4,NaN,NaN,NaN
1673,6bxa,4,NaN,NaN,NaN
1674,6bxc,4,NaN,NaN,NaN
1675,6byh,9,NaN,NaN,NaN
1676,6c16,6,NaN,NaN,NaN
1677,6c48,6,NaN,NaN,NaN
1678,6ce9,8,NaN,NaN,NaN
1679,6ch2,6,NaN,NaN,NaN
1680,6cmg,3,NaN,NaN,NaN
1681,6co2,4,NaN,NaN,NaN
1682,6cql,5,NaN,NaN,NaN
1683,6cqn,5,NaN,NaN,NaN
1684,6cqq,10,NaN,NaN,NaN
1685,6cqr,10,NaN,NaN,NaN
1686,6cwt,6,NaN,NaN,NaN
1687,6d01,10,NaN,NaN,NaN
1688,6ddm,3,NaN,NaN,NaN
1689,6ddr,3,NaN,NaN,NaN
1690,6ddv,3,NaN,NaN,NaN
1691,6dmx,10,NaN,NaN,NaN
1692,6dnq,5,NaN,NaN,NaN
1693,6e2p,4,NaN,NaN,NaN
1694,6E+062,6,NaN,NaN,NaN
1695,6E+063,6,NaN,NaN,NaN
1696,6eg1,4,NaN,NaN,NaN
1697,6ehg,3,NaN,NaN,NaN
1698,6ejg,4,NaN,NaN,NaN
1699,6ejm,4,NaN,NaN,NaN
1700,6eyd,6,NaN,NaN,NaN
1701,6eyo,6,NaN,NaN,NaN
1702,6f3z,4,NaN,NaN,NaN
1703,6fc2,4,NaN,NaN,NaN
1704,6fe4,10,NaN,NaN,NaN
1705,6fgb,4,NaN,NaN,NaN
1706,6fgo,8,NaN,NaN,NaN
1707,6fhp,4,NaN,NaN,NaN
1708,6flb,3,NaN,NaN,NaN
1709,6flc,6,NaN,NaN,NaN
1710,6fq0,4,NaN,NaN,NaN
1711,6fu9,4,NaN,NaN,NaN
1712,6g10,3,NaN,NaN,NaN
1713,6gbh,4,NaN,NaN,NaN
1714,6gbu,8,NaN,NaN,NaN
1715,6gfi,4,NaN,NaN,NaN
1716,6h06,12,NaN,NaN,NaN
1717,6h0e,12,NaN,NaN,NaN
1718,6hpr,4,NaN,NaN,NaN
1719,6ii4,8,NaN,NaN,NaN
1720,6ii8,12,NaN,NaN,NaN
1721,6ii9,12,NaN,NaN,NaN
1722,6mft,6,NaN,NaN,NaN
1723,6mgp,6,NaN,NaN,NaN
1724,6mhr,6,NaN,NaN,NaN
1725,6mi2,6,NaN,NaN,NaN
1726,6mkz,4,NaN,NaN,NaN
1727,6mlk,3,NaN,NaN,NaN
1728,6rhw,3,NaN,NaN,NaN
1729,6rhv,3,NaN,NaN,NaN
1730,6r8x,3,NaN,NaN,NaN
1731,6r2s,3,NaN,NaN,NaN
1732,6qms,3,NaN,NaN,NaN
1733,6qmq,3,NaN,NaN,NaN
1734,6qmp,3,NaN,NaN,NaN
1735,6qj4,5,NaN,NaN,NaN
1736,6qb6,3,NaN,NaN,NaN
1737,6q69,4,NaN,NaN,NaN
1738,6q18,3,NaN,NaN,NaN
1739,6q0o,3,NaN,NaN,NaN
1740,6q0h,3,NaN,NaN,NaN
1741,6pxh,6,NaN,NaN,NaN
1742,6ppg,6,NaN,NaN,NaN
1743,6plm,4,NaN,NaN,NaN
1744,6plk,6,NaN,NaN,NaN
1745,6phd,3,NaN,NaN,NaN
1746,6phc,6,NaN,NaN,NaN
1747,6phb,6,NaN,NaN,NaN
1748,6pdx,9,NaN,NaN,NaN
1749,6p7y,4,NaN,NaN,NaN
1750,6p7s,4,NaN,NaN,NaN
1751,6p67,12,NaN,NaN,NaN
1752,6p50,3,NaN,NaN,NaN
1753,6oy4,3,NaN,NaN,NaN
1754,6ous,24,NaN,NaN,NaN
1755,6otc,3,NaN,NaN,NaN
1756,6orq,12,NaN,NaN,NaN
1757,6oro,12,NaN,NaN,NaN
1758,6oqq,4,NaN,NaN,NaN
1759,6oor,4,NaN,NaN,NaN
1760,6og4,3,NaN,NaN,NaN
1761,6oel,5,NaN,NaN,NaN
1762,6oc3,6,NaN,NaN,NaN
1763,6obn,4,NaN,NaN,NaN
1764,6ob1,3,NaN,NaN,NaN
1765,6oao,12,NaN,NaN,NaN
1766,6oan,4,NaN,NaN,NaN
1767,6o8b,4,NaN,NaN,NaN
1768,6o60,4,NaN,NaN,NaN
1769,6o3o,4,NaN,NaN,NaN
1770,6o3b,6,NaN,NaN,NaN
1771,6o3a,3,NaN,NaN,NaN
1772,6o39,3,NaN,NaN,NaN
1773,6o1f,4,NaN,NaN,NaN
1774,6o07,3,NaN,NaN,NaN
1775,6nzu,10,NaN,NaN,NaN
1776,6nuf,3,NaN,NaN,NaN
1777,6nuc,3,NaN,NaN,NaN
1778,6nrw,4,NaN,NaN,NaN
1779,6nr8,22,NaN,NaN,NaN
1780,6nmv,3,NaN,NaN,NaN
1781,6nmu,6,NaN,NaN,NaN
1782,6nmt,3,NaN,NaN,NaN
1783,6nms,6,NaN,NaN,NaN
1784,6nmr,12,NaN,NaN,NaN
1785,6nk7,17,NaN,NaN,NaN
1786,6nha,4,NaN,NaN,NaN
1787,6nfj,6,NaN,NaN,NaN
1788,6ndz,6,NaN,NaN,NaN
1789,6n6r,4,NaN,NaN,NaN
1790,6n5w,3,NaN,NaN,NaN
1791,6mvl,3,NaN,NaN,NaN
1792,6mun,3,NaN,NaN,NaN
1793,6msu,3,NaN,NaN,NaN
1794,6mss,4,NaN,NaN,NaN
1795,6msl,3,NaN,NaN,NaN
1796,6moe,4,NaN,NaN,NaN
1797,6mnr,3,NaN,NaN,NaN
1798,6mnq,3,NaN,NaN,NaN
1799,6mm6,4,NaN,NaN,NaN
1800,6mlm,12,NaN,NaN,NaN
1801,6mam,12,NaN,NaN,NaN
1802,6m9k,6,NaN,NaN,NaN
1803,6km7,4,NaN,NaN,NaN
1804,6kbn,4,NaN,NaN,NaN
1805,6k7o,12,NaN,NaN,NaN
1806,6k4k,4,NaN,NaN,NaN
1807,6k0y,3,NaN,NaN,NaN
1808,6jo8,9,NaN,NaN,NaN
1809,6jjp,6,NaN,NaN,NaN
1810,6jhw,4,NaN,NaN,NaN
1811,6jep,6,NaN,NaN,NaN
1812,6jdj,3,NaN,NaN,NaN
1813,6jbt,3,NaN,NaN,NaN
1814,6j9l,3,NaN,NaN,NaN
1815,6j9h,4,NaN,NaN,NaN
1816,6j7w,4,NaN,NaN,NaN
1817,6j6y,6,NaN,NaN,NaN
1818,6j5f,3,NaN,NaN,NaN
1819,6j5d,3,NaN,NaN,NaN
1820,6j56,4,NaN,NaN,NaN
1821,6j14,3,NaN,NaN,NaN
1822,6j11,9,NaN,NaN,NaN
1823,6iw0,3,NaN,NaN,NaN
1824,6ivz,3,NaN,NaN,NaN
1825,6isu,3,NaN,NaN,NaN
1826,6in9,4,NaN,NaN,NaN
1827,6ilm,6,NaN,NaN,NaN
1828,6ilk,5,NaN,NaN,NaN
1829,6iec,12,NaN,NaN,NaN
1830,6ieb,6,NaN,NaN,NaN
1831,6iea,3,NaN,NaN,NaN
1832,6ib8,3,NaN,NaN,NaN
1833,6i07,4,NaN,NaN,NaN
1834,6ht9,4,NaN,NaN,NaN
1835,6hhc,3,NaN,NaN,NaN
1836,6h71,4,NaN,NaN,NaN
1837,6h6z,4,NaN,NaN,NaN
1838,6h3t,6,NaN,NaN,NaN
1839,6h3u,6,NaN,NaN,NaN
1840,6h2y,3,NaN,NaN,NaN
1841,6h15,4,NaN,NaN,NaN
1842,6gwc,3,NaN,NaN,NaN
1843,6gtq,4,NaN,NaN,NaN
1844,6gku,3,NaN,NaN,NaN
1845,6gjq,8,NaN,NaN,NaN
1846,6fto,3,NaN,NaN,NaN
1847,6fpg,8,NaN,NaN,NaN
1848,6fg2,8,NaN,NaN,NaN
1849,6f0h,4,NaN,NaN,NaN
1850,6f0g,4,NaN,NaN,NaN
1851,6ewb,12,NaN,NaN,NaN
1852,6ere,4,NaN,NaN,NaN
1853,6e4z,3,NaN,NaN,NaN
1854,6e4y,3,NaN,NaN,NaN
1855,6dwh,12,NaN,NaN,NaN
1856,6dwf,12,NaN,NaN,NaN
1857,6dld,4,NaN,NaN,NaN
1858,6dkj,6,NaN,NaN,NaN
1859,6dg5,3,NaN,NaN,NaN
1860,6dfs,4,NaN,NaN,NaN
1861,6dca,12,NaN,NaN,NaN
1862,6dcn,4,NaN,NaN,NaN
1863,6dc9,6,NaN,NaN,NaN
1864,6dc3,3,NaN,NaN,NaN
1865,6d7g,3,NaN,NaN,NaN
1866,6d68,4,NaN,NaN,NaN
1867,6czo,4,NaN,NaN,NaN
1868,6cxl,4,NaN,NaN,NaN
1869,6cxg,6,NaN,NaN,NaN
1870,6cxf,4,NaN,NaN,NaN
1871,6cwg,4,NaN,NaN,NaN
1872,6cug,4,NaN,NaN,NaN
1873,6c83,4,NaN,NaN,NaN
1874,6bx8,8,NaN,NaN,NaN
1875,6ath,3,NaN,NaN,NaN
1876,6a7v,8,NaN,NaN,NaN
1877,6a79,6,NaN,NaN,NaN
1878,6a78,6,NaN,NaN,NaN
1879,6a6x,4,NaN,NaN,NaN
1880,6a6i,8,NaN,NaN,NaN
1881,6a3v,24,NaN,NaN,NaN
1882,5zvm,6,NaN,NaN,NaN
1883,5zqv,8,NaN,NaN,NaN
1884,5zo2,3,NaN,NaN,NaN
1885,5z7l,4,NaN,NaN,NaN
1886,5z7g,4,NaN,NaN,NaN
1887,5ymy,3,NaN,NaN,NaN
1888,5y9j,3,NaN,NaN,NaN
1889,5xkj,6,NaN,NaN,NaN
1890,5xjo,6,NaN,NaN,NaN
1891,5ock,3,NaN,NaN,NaN
1892,5nx3,4,NaN,NaN,NaN
1893,5nx1,4,NaN,NaN,NaN
1894,5nl1,12,NaN,NaN,NaN
1895,5kof,4,NaN,NaN,NaN
1896,6j9m,6,NaN,NaN,NaN
1897,6h6y,8,NaN,NaN,NaN
1898,6fg1,4,NaN,NaN,NaN
1899,6dc8,3,NaN,NaN,NaN
1900,6a3w,12,NaN,NaN,NaN
1901,5swk,4,NaN,NaN,NaN
1902,6s8s,4,NaN,NaN,NaN
1903,6sak,4,NaN,NaN,NaN
1904,6saz,4,NaN,NaN,NaN
1905,6thg,10,NaN,NaN,NaN
1906,6tzc,3,NaN,NaN,NaN
1907,6u2h,4,NaN,NaN,NaN
1908,6u8c,6,NaN,NaN,NaN
1909,6uda,12,NaN,NaN,NaN
1910,6um5,12,NaN,NaN,NaN
1911,6uvo,3,NaN,NaN,NaN
1912,6uys,4,NaN,NaN,NaN
1913,6uyu,4,NaN,NaN,NaN
